Name,Comment,Likes
Boba Fett,This is what scares me. This trailer was so good. But movie was trash. I hope Skywalker does indeed RISE,0
Joseph Veevers,What a top class movie! Loved it! Bravo Rian Johnson.,7
Ant XV,This one was worse than the prequels,0
Jack Robins,Already been 2 years! Where’s time going?,0
Robert Durst,This had so much potential,7
MannyEsporato,Who&#39;s here after they released the trailer for episode 9?,3
Jerry Sullivan,"I cry every time I watch this. Oh, what this movie could have been.",1
Monster Man,"I thought TLJ was alright movie. The only thing I didn&#39;t liked was the very corny Mary Poppins space scene, but other than that it was an alright movie!",1
Felipe D ́imperio,"Came back from episode 9 trailer, anyone?",4
That Guy Over There,Alright let’s be honest who else came here after it watching it,1
Waddlez,Who else is here after the episode&#39;s IX teaser?,13
Cger,Who’s here after the episode 9 trailer,0
Manuel Puente,i hate this movie,0
SavageRicktator,Help us JJ Abrams your our only hope save this abomination. Bring back Anakin Skywalker in Episode IX then I will forgive you,1
Joel V. Cariaga II,Who is here from star wars 9 trailer?,0
Felix,Such a disappointment this movie... Only good thing was the trailor,0
Marcus H. Bach-Nielsen,"The trailer looked incredibly good, too bad",6
starboy,Who’s rewatching this after star wars the rise of skywalker teaser?,16
tiger_1_3_1,Who is here after watching the episode 9 trailer?,0
Proud Kiwi,After watching The Rise of Skywalker trailer<br><br>&quot;Retconned. Retconned. All I see is Retconned material.&quot;,1
Manoj Kumar,Anyone after The Rise of Skywalker ?,26
Hammer,WHO IS HERE AFTER THE NEW TRAILER FOR EPISODE 9 ???????,7
Josh K,"Looking back at it, besides some dumb choices here and there the main problem is The Last Jedi is right after episode 7 which dosent allow character progression and change, and makes the trilogy feel shorter",5
GrandClock1396,Hey 2017 people I’m here from 2019 don’t watch this movie it’s trash,1
tyskenfan,The trailer is actually better than the whole movie imo.,0
Rohail Aamir,Luke in this movie was consistent with Luke from Episode 4-6. Change my mind,7
Ashwin Chopra,Here after Episode IX trailer,0
Sai Varma,Anyone here after the releasing of rise of skywalker trailer..??,1
Jedislayer,Let the past die.<br>Oh yeah! Especially after that awesome Episode 9 Teaser!,0
Danlore,"The Force sure is female, because The Last Jedi sure felt like one really bad period.",0
SmitE.,Who watching This.After watch rise of skywalker?,0
Leonardo Henrique,this trailer is so good!,0
Michael Cocciolillo,PALPATINE!!,1
Jacob Sturtevant,Who else is here after THE RISE OF SKYWALKER,402
Sam Whitehouse,Ryan Johnson had 0 clue what the fans wanted what a moron who ruined this great trilogy thank god for JJ Abrams,3
ASIAn Geeks,Who’s here after episode 9 trailer???,2
Galo Coronel,"ironic, I came her after episode 9 trailer",0
Clarence,Who&#39;s here after watching <b>the rise of Skywalker</b> trailer???,2
Justin Fencsak,Episode 9 trailer makes this trailer look like a cartoon,0
Domasiukas,Back from Episode IX trailer. That one is moderate but this one is hands down more emotional than 80% of all movies while being only 2 minutes long. I cherished this trailer through all the fanbase hate for Episode VIII and I hope to always return to this when I need to find hope.,1
James Emmerick,is not eluding to the explanations to many of the long running riddles...  far too many riddles... few who know see and can explain but refuse to... the riddles need answering for themselves for freedom to be loosed... the dark seeks to control and destroy it is all it knows and has the patience for... but the light is life hope future path that all comes together to build and create for life&#39;s sake... for if The Force can not live build increase expand... the force would collapse on itself and all existence will be crushed into a deep void of nothingness... where even the darkside can not live... for in this paradigm this star wars cosmology The Force broke and was split so the dark side developed so that the Force now has a shadow... therefore one can not be without the other... so teh riddle is... how in this cosmology can the &quot;sides&quot; be reconciled?...,0
747lch,Great trailer for an awful movie,2
Jesse Valencia,How is here after seeing the star wars episode 9 trailer,1
Ben Fielding,Who&#39;s here after the rise of Skywalker trailer,0
Jack B,"Rey sucks, terrible Character.",5
Z W,Trailer for IX just dropped. Already better than this,0
Cosmic Keyboard,Anyone here after episode 9 tralier,1
305Century,👏Nobody 👏 cares 👏 if 👏 you’re 👏 here 👏 after 👏 the 👏 Episode 👏 9 👏 trailer,2969
SkullHQ,Anyone here after the release of the Episode IX trailer?,1
Poseidon,Why is episode 9 trailer better then this one,2
Luke Whitney,This trailer is so deceiving,11
Christopher Morales,Who’s here after the episode nine teaser,1
Joci126,Who watching this until EP IX trailer?,0
The Gaming World,Who just seen the episode 9 trailer.!!!<br> <br>: ),1
#OnlyDan,this looks like the previous movies cut into a trailer.......  And Yet it still looks good.,1
Lord Mega,Whos here after watching the Rise of Skywalker trailer,0
Nessuno Nessuno,Who&#39;s here after watching the ep.9?,0
Blake,Who else is here after watching episode 9 trailer and trying to see if the episode 8 trailer was good so you can know if 9 has potential to be a good movie or a repeat of 8?,1
Emu,This movie was a great setup. The Rise of Skywalker is about to ruin all of it.,0
Totally OKaY Productions,Who’s here after IX’s teaser?,0
Meer Aso,The rise of SKYWALKER,0
Sámuel Kelemen,Anyone here after the &quot;Rise of the Skywalker&quot; trailer?,1
Joaquin Cuquejo,"This remind me fallout 76, great trailer but bad product",87
Eric Thach,Coming from the Rise of Skywalker,0
Nova,"Here after watching Ep9 trailer, so sry but this one works much better for me. Better music compilation, better drama, better visuals.",0
Piano Clips,Who&#39;s back here after watching ep 9&#39;s trailer just now lol,11
Fenn Droge,Who’s here after Star Wars The Rise Of Skywalker Trailer,9
AsaFestejo,Who else came here after episode 9 teaser to see how better it already is than the last Jedi? 😂,1
Dudicorn,WHO&#39;S HERE AFTER THE NEW EPISODE IX TEASER?!,1
redcr33per productions,"After I saw the teaser of The Rise of Skywalker, that trailer makes this one look like it’s made out of a dumpster",0
BigmanYe?,whos here after watching Episode 9 teaser?,74
Elmir Seyfullayev,Watching this after Ep IX dropped,0
Ty Noki,OHHHH BROTHHERR,0
Lead Poisoning,This movie made me hate Force Awakens by mere association.,0
Sudupe,Here after episode 9 teaser trailer.,1
Jere Pakarinen,The rise of skywalker🔥,5
M,"This movie is Amazing, it is so good and just a great movie, I honestly dont know why it got so much hate- either people are to picky or jealous cuase they dont have force powers but this movie is so powerful and sets up perfectly for episode 9. The battle sences are intense the music is perfect, the fans just need to relax and watch a star wars movie. Just like your watching any other star wars, dont have any expectations- because we star wars lovers already know that they are going to be amazing movies- just watch and have a good time because THE LAST JEDI was an amazing movie and an Amazing star wars movie.",4
Sealion Studios,Watching this trailer once more before the trailer for IX today!,1
gamers in a container,I wish the film went this way.,0
Logan,Who else is watching this before the trailer tomorrow?,266
Herbie,Rey @ the end of trailer &quot;I need someone to show me my place in all this&quot; Star Wars fans after watching The Last Jedi... &quot;I need someone to show me my place in all this&quot;,1
Tssper,I reported this trailer for ‘misleading’,5
"135,730,421 views",The most epic thing i seen ever,12
DirectedByNickBaca,Why did Rey not just turn evil,0
Mahvelous 21,Am I the only one who though this movie was decent. Not the best but decent<br><br>But The Force Awakens... hell no,1
aleks,<b>OMG! </b><b><i>3 day</i></b><b> left to official teaster episode IX ツ</b>,7
Savage_Cabage X,This trailer was better than the entire movie.,1
kitkat,I thought it was going to be so good :&#39;(,4
songphop intharamani,Over 6 years have not come to Thailand yet.,0
songphop intharamani,Over 6 years have not come to the country yet.,0
All things nerd.,"&quot;This is not going to go the way you think&quot;.  Subtle foreshadowing/forewarning to the fans....  I am not a fan of this movie as a whole, but there are parts of it that are great... but man, the parts that are bad, are REALLY bad....",0
Bernabe Arias,The Trailers for The Last Jedi were very. very. very. misleading. and. hurtful.,1
BecauseSnickers,10-Sep,1
Anthony Baggott,What could’ve been....😔,0
ErikCB912,"Notice how this trailer had no Rose, Canto Bite, Holdo, etc",1
Brendan Wright,The Force Awakens The Last Jedi From His Sleep,4
Carlo Martinez,Am i the only Star Wars fan who really like episode 8,2
FLaaVEn,Watched this trailer when it released in the NFL break. I was absolutely blown away especially because of the ending. It&#39;s sad that I was far away from beeing blown away after exiting the cinema... <br><br>That movie was the biggest letdown in the entire Star Wars history!,3
German Badilla,Star wars pls make the new movie on December,0
THE AVENGER,Top 10 Anime betrayals,4
KyloRen22,Episode IX trailler?,0
memeisbest,"I think this movie was fine,and how luke die is ok too,but Rose is really the biggest problem",2
Phan Anh,Star Wars is just for Kiddos American.. using LED light to fight each others 😂😂..,0
Edward Augustus,A great trailer for a terrible film.,2
Code Renard,A shame this version of the movie was never made.,13
Monish Biswas,I don&#39;t want a girl for the main character...<br>Lol!!!<br>That&#39;s why I like marvel more than star wars,0
Gabriel Hernandez,Makes me ill to think about what could have been with the promise of this trailer.,1
JediTempleToys,The greatest Star Wars film yet. I LOVE the Last Jedi,4
Jonny Esper,Worst Starwars to date...too much dialogue... Too much comedy(like a disney movie)  They really stuffed the starwars franchise up  ...,2
The L.J. Show,Best film since Dark Knight,2
"12 - DARWIN Valdez, Aviel Laurenze",Or i hope the star wars will never end,2
"12 - DARWIN Valdez, Aviel Laurenze",I hope they make another movie of star wars,1
Luca,When the trailer is better than the entire move,1
E. Lorenzana,I love this episode &lt;3,7
I can't think of A Good Name,Trailer: 10<br><br>Film:  3,3
VandallST,Блять ну и хуйня конечно. Во что  превратили вселенную блять?,0
Stephen Penney,"The Last Jedi, and Revenge of the Sith are the worst Star Wars movies to date! 👎",2
GOAT,When the trailer is better than the actual movie...,0
AE Conn,Say what you want about the movie itself but this is an amazing trailer,4594
GamblingDie,Rest In Peace Admiral we will remember you and all of your Sacrifices we love you Ackbar <br><br>“It’s a trap”- Admiral Ackbar,1134
Louis Hackney,Trailer &gt; Movie,1
M,Phenomenal trailer. Disappointing movie.,0
Sam McCadams,Anybody know the music playing when the lucasfilm logo comes up? I’ve listened through the soundtrack multiple times I can’t seem to hear it anywhere,1
IncPoint Films,I actually dont hate or love this movie. I just liked it. Anyone else?,3
Jacob Gálvez,LMAO! If only we knew how garbage this movie would be...,2
Keiran Thomas,I think the movie was good but the flaw that it has that I think had every losing their rags about is that the movie doesn&#39;t naturally progress the story for the sequel characters. TFA was a good reintroduction back into the franchise but the quality was at a tipping point in viewers perspective in that if the next one was amazing as the trailer suggested then TFA would be looked on with better ligh than what is now because of how TLA turned out,0
aleks,21days ツ,1
The Happy Cockatiel,"I fear no man, but that thing... (looks at Rian Johnson)... It scares me.",0
Molly Scott,Watching this again and CAN’T WAIT FOR EPISODE 9 AHHHHH,9
H,Bruh I watch this daily and cry,4
Tavy06,I hope that episode IX will be better than this episode,1
Jorge Alberto,Worst Star Wars film ever,0
WASTELAND_GZ,My birthday is May 8th so close :(,0
Klint Reeves,Episode 9 return of the sith,2
RaptorsintheKitchen,Hoping Episode 9 will blow us all away! Please Please Please JJ I wont this movie to take my breath away and redeem the franchise!!!!,0
Manuel,"This movie gave PTSD after watching it in theaters, I didn&#39;t even bother watching it again when I purchase it on Blu ray.",0
TonyRaccoon 4415,"Although the movie isn’t good, This trailer is amazing in my opinion",3
𝔻𝕒𝕧𝕚𝕕 𝕊𝕞𝕚𝕥𝕙,Move over Rey.<br>Captain Marvel is Disney&#39;s favorite feminist Mary Sue now.<br>Disney and their social justice propaganda films masquerading as good entertainment.,1
LETTER R,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m59s"">1:59</a> I died laughing",1
Hannah,Who else can&#39;t wait for the Trailer for episode IX?,6
Fábio Semiāo 1993,I dont understand the hate to be honest<br>I like this movie,5
Mr d,Biggest pile of over hyped turd I’ve ever seen,1
Eli Waddell,"Say what you will about the movie, but THIS, ladies and gentlemen, is how you do a trailer.",2557
Memes Grátis ,This movie sucks,1
Hamish Smith,worst star wars ever,1
drmuffin1080,"One of my favorite trailers ever. <a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m04s"">1:04</a> onward gives me straight goosebumps",17
deathsdoor07,Too bad the people that made this trailer did not make the movie itself.,1
Bob Monopoly Comedy,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=0m04s"">0:04</a> when I see the last Jedi trailer. Vs. <a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=2m03s"">2:03</a> after I see the movie",0
Hamza Ouamrouche,Something special your destiny last jedi knight with force,0
Sereth Sereth,Oh PLEASE! Could someone tell me if I should 1. Watch the Episode IX teaser trailer when it comes or 2. Wait till December to see it in the theatre? Please tell me!,1
Dovendyret - Norsk Gaming,This is the worst star wars movie i have ever seen...,2
Crecent Bluuu,So beautiful and STAR WARS IS LKKE MY FAVORITE MOVIES OF ALL TIME AND I AM SO EXITED FOR EPISODE 9 :D,4
Charlie Elison,"This movie wasn&#39;t as bad as people say. This doesn&#39;t make me love the series any less than I do now, and im 100% still going to see episode 9.",26
Charles Kim M.,The force awakens the last jedi to balance the force! Still waiting for the Episode IX title and trailer.,1
ThatGoobyGuy,"Every since disney took ownership of star wars they have discraced star war&#39;s characters, plot and storyline to no end.",0
Daniel _,"this trailer was the greatest thing ever when it came out.. still pumps me up. <br><br>sadly, the last jedi was absolutely heartbreaking to day 1 star war fans. <br><br>save us y2j.. i mean jj.",0
ᗪAMoήrỮ ➈➆,"I really liked this movie,I actually enjoyed it watching it 4 times,can&#39;t find something wrong with this movie",1
Neil,"If I could wipe my memory of the actual film, but keep this AMAZING trailer I would.",1
baefairy,"This whole trailer centralizes around reylo (rey+kylo if you didn&#39;t know -__-), deny it? Then what&#39;s this? <br><a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=0m18s"">0:18</a> Snoke Saw Something Truly Special: REYLO ;<br><a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=2m03s"">2:03</a> &quot;I Need Someone To Show Me My Place In All This&quot;: REYLO ;<br><a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=0m55s"">0:55</a> Luke knows reylo will happen, which is why he got scared by that powerrrr...<br><a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m45s"">1:45</a> Some might say that they&#39;re going to end up being siblings just like in the originals. But if these new movies are supposedly all about creating a new story and &quot;letting the past die&quot;, why would they repeat the same plot twist that they pulled off in the previous trilogy?<br>Reylo is the balance of the force. (SPOILERS: and the balance is so strong that Luke&#39;s light saber broke in half as they were both using the force to grab it. Neither one of them was stronger than the other, they&#39;re strength was BaLaNCeD) <a href=""http://www.youtube.com/results?search_query=%23reylo4ever"">#reylo4ever</a> ;))",1
Ezion 106,I never thought a Star Wars movie could be so bad... Even TPM was better,0
SPI- Killaz inc,My main problem with this movie it there’s no actual light saber duel,13
Bella,I love this movie!!💗💖❤😍😍😘,1
Axel,This is how many more star wars movies are coming<br><br>👇,148
Doomcos 12,"Funny how theres no Canto Bight in this, which would have made the movie better without it",1
BenDFUT,This trailer still gives me immense chills. Such a great movie.,19
Damian Castillo,I’m sorry but this movie was not bad at all by any means. The Star Wars fan base is just the worst sometimes. Y’all are a bunch of crybabies cuz you didn’t get the movie you wrote in your heads. It’s funny how some of you like the prequels(myself included) yet day that TLJ is bad. But whatever I still absolutely enjoy these movies regardless what the crybabies say lol,4
KesumaofEO,"When I saw this trailer, I was thinking &quot;Oh no! Not another rehash of the originals like TFA&quot;... But after I watched the full movie... I wish it had been.",0
Poncho Palmera,I actually loved this movie. I&#39;d say it&#39;s maybe the best Star Wars movie.,12
Natalia Carranza,😃😂,1
Holy Diver,i would be completely fine if jj abrams split episode 9 into 2 parts and make the last jedi non canon,1
Lines Angus,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m11s"">1:11</a> I&#39;ll try spinning! That&#39;s a good trick!",827
Dai Sy,This is literally the best trailer to ever exist and I can&#39;t stop myself from coming back to it!,10
Ал Ал,Офигенный фильм. Горите олдфаги,0
Guilherme Sena,One of the best trailers I have ever seen. Too bad the movie didn&#39;t live up to it.,2
Manil,Waiting for Episode IX Like:,25
LTK_ XV,When you realize Luke explained the movie if ya know what I mean......,0
The Real T,When the trailer is better than the movie lol,0
Kade Bauman,This trailer still gives me chills...what a great movie.,6
Brodzzzzz,"This <a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=2m34s"">2:34</a> second trailer... Is better than the whole movie.",1
Sgt. Locomotive,Just a random comment passing through,0
Sgt. Locomotive,That’s good music and opera,0
J2T,Hopefully JJ can fix this,0
Jade,What could have been...,0
Steve Franco,"What&#39;s the name of the track that starts at <a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=0m28s"">0:28</a>?  Anybody know if it&#39;s on the official soundtrack?",0
𝔻𝕒𝕧𝕚𝕕 𝕊𝕞𝕚𝕥𝕙,A new Disney Mary Sue is coming and her name is Captain Marvel. <br>Feminist Brie Larson and her feminist Mary Sue Captain Marvel will make Rey look like a Padawan.,0
Camilo Indart,This movie is awful,1
Aman Kumar,Fanatics picture,0
𝕯𝖎𝖌𝖎𝖊ディエゴ,thanks Ruin Johnson :),1
Na Lu,Auf <br>🥇,2
Blake,I know it will never happen. But I want kJ Abraham’s to remake this movie with the original script and story. Would love to see what he tried to do.,0
Jazz,What a waste of potential :(,3
Levi Bond,I. Love. This. Movie!,11
Bring back the 80s,this movie is True Garbage,3
fabian ibarra,"the guy behind this trailer is a genius, surely disney did not pay him what he owed and i happy for that.",5
Fresno Nightcrawler,don&#39;t make rey a mary sue stop it,0
ᴍʀ. ᴍʏsᴛᴇʀɪᴏᴜs,Spioler Alert:<br><br>Feminism took over star wars,2
Ruben Garcia,Notice there were no scenes of the Casino or the side characters? haha,1227
Juan R,Disgusting.,0
leafyutube,What an asinine excuse for a Star Wars movie. No point in watching Episode 9. These Disney idiots have already destroyed the franchise and desecrated some of the most beloved movie characters of all time. Episode 9 cannot undo the damage these morons have already done!,0
Ivan Stankovic,"Hi Disney! So, obviously you guys are aiming for social diversity in your new movies.. However, its quite &quot;in your face&quot; hence very unnatural. Mary Sue and feminism is so over the top, so its really hard to watch the new SW movies. Its just cringe all over the place..Now, with the right storytelling you can have all kind of diversity which can work in favor for the movie itself. Amazing example for this is new Spiderman- Into the Spider Verse.",0
Yoana Yoneva,Rian make better movie then Jar Jar,0
BissBass-KFP 🐔,I swear the shills that still defend this movie need to watch Episode IV and see a real movie worth praising,1
N Holt,It was a good movie. Don&#39;t listen to the haters.,8
Louis Hackney,"Man, why is the trailer so much better than the film?",3
Nahuel,It&#39;s a trap,3
ciao myweak,Ty for ruining the star war Disney,1
MrPresence,This film clickbaited us through the trailer,1
Alex Voicu,So many butthurt grown-ups sw toxic fans in the comments,4
Dani Kline,Anyone here who has something nice to say about the movie?,4
Hagen Merak,This is the most amazing film from the entire saga! I love it!,0
Jorge Hernandez,I still believe the phantom menace was better than this one ._.,5
Lander,everyone is saying that this movie was terrible but i actually liked it... just me???,2
Sam Wolfe,Who’s waiting for Star Wars IX trailer to come out?,3
Dean Huertas,Rewatching this awesome trailer just makes me want to slap the back of Vice Admiral Holdos neck fam,0
Akira McCann,next up on Disney Star Wars: Mickey Mouse leads a battalion of stormtroopers to take out the trash,0
OBI- -WAN,You ever hear the tragedy of The Last Jedi.,4
José Luis Colunga,"This movie seemed to be very dark, deep, interesting and amazing. I couldn&#39;t wait a day to watch it with my gf so I went watch it by myself.<br><br>Since I actually like The force awakens, I was expecting a lot from this movie. Instead I got utter garbage. I even downloaded it, pirated from YIFY instead of renting it to give it a second chance... Oh man, I just couldn&#39;t. I watched the first 10 minutes and I got bored. Deleted it immediately.",0
Edwin Sanchez,This the sequel we deserved but not the one we needed,0
Robaidh Innes,"People keep saying that “Rian Johnson ruined Star Wars”. Are they forgetting that Star Wars has already been ruined by George Lucas with his abysmal prequel trilogy. The Phantom Menace and Attack of the Clones are both just complete cinematic abortions. Subpar to downright woeful acting, embarrassing cliche riddled script, underdeveloped characters, dull nonsensical boring plots, bad pacing of the story, no clear central character and absolutely hideous, dated CGI that comprises the majority of the films style. Revenge of the Sith has the most interesting story to tell but is still plagued with the same issues that haunt its two shambolic predecessors. The Last Jedi is not a good movie and I’m not defending it, but it isn’t any worse than Revenge of the Sith and in my opinion it’s a more bearable experience than the first two prequels. Hell, at least the actors actually had real locations and sets to work with rather than sterile rooms enveloped in blue screen where they are told what is going to be there. Best approach to Star Wars? Watch the original trilogy and then just pretend that everything thereafter didn’t happen.",0
Kevin Garcia,I know I&#39;m such a nerd,0
The Moterfucking Jules,"December 9, 2017<br><br>So i enter to internet and then: <a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=0m07s"">0:07</a>",1
Fernando Palacios Aliaga,"I&#39;ll say it this way<br><br><br><br> I loved The Last Jedi, Why?<br><br><br><br><br>I&#39;m not a guy who believes those theories of What&#39;s going to happen? or Who could die ?, I am not one of those people who are true fans of Star Wars and also keep the emotion at a regular level, neither too high nor too low, we all know that it was going to be the last time we will see Carrie Fisher as Leia Organa<br><br>Then are you going to hate the last work alive of the most famous actress in the saga of Lucas?<br><br>Tell me, will they?<br><br>The trailer of the movie is a great job and the movie is also ...<br><br>Critique my comment, I only told the truth",4
Enzopichi,several times I look at the trailers of TFA and TLJ and I think ... &quot;this in my head was very different from what happened in the movies&quot; (I do not say that I do not like them) but there were much better things to do with they,1
the Don,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m45s"">1:45</a> he tried to warn us.",1483
Blizzforte,<b>SPOILER ALERT!!</b> <br><br>Jar Jar Binks is a disguised Supreme Sith Overlord of the entire Galaxy and is coming back in Episode 9 performing the biggest galactic plot twist performed in history of the Universe! <br><br>This would actually save Star Wars and give it LEGEND status.,0
Noah McClay,Guess I’m the only one who actually liked this movie,6
Harshvardhan Sidhikumar,Reveal the Title of Star Wars IX,1
Vipul Tripathy,boring,0
Jedi Fulcrum,"I love every Star Wars movie, including this one.<br>I don&#39;t understand why almost everybody says that this movie was bad. This movie is epic just like every other one. So please tell me, why is this one so bad?",3
HRV 35,The movie wasnt really that bad,1
meerkat1954,"&quot;something.... something.... blah blah. Forget it who cares about a good script, just start rolling the cameras! Those Star Wars geeks will buy anything!&quot;",0
xLence,And I thought it was going to be good...,0
Noah,Loved the movie!,1
selor,I am dissapointed<br><br><br><br><br>Lol no but 50% was not epic,0
MAJESTYVONDOOM,Youtubers:last jedi bad<br>Everyone:👏👏👏👏👏,2
Ricardo Orru,My disappointment is immesurable and star wars is ruined.,0
DesadeGaming,Revenge of the Feminists,0
Vissenkok,Most boring movie i&#39;ve ever watched,1
RatedRLoquender,Incredible that a trailer is WAAAAY better than the movie itself.,0
Sydney W,Trailer? More like a warning,0
Grant Wilson,Top Ten trailers 100% better than the movie.,0
Agustin Duarte,"Yeah, i loved this movie. Awesome trailer.",3
Glass Man,This single-handedly ruined starwarsfor me.<br>Forever!,1
Sg,"Such a waste 😢 we didn’t wanted to see a Star wars parody, we just wanted to see ...Star wars.",0
Sil3ntAfr0,"@<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m45s"">1:45</a> &quot;This is not going to go the way you think&quot;. I think Luke was trying to warn us beforehand lol",2
Artur AAS,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m46s"">1:46</a> Luke warned us...",3
Tona Rojo,Why oh why did the trailer have to be a hundred times better than the final product!? :&#39;( I wish we could go back in time and make sure we got the movie we were promised with this trailer.,1
Madeline C,Honestly they could’ve saved it if only the end of the trailer came true,0
Chris Corley,"Through collaboration, Rian would have benefited well -- writing and revisions.",0
joe,Fans vs George Lucas 2:  &quot;We are SO...sorry&quot;,1
Justin Marquez,Greatest Star Wars trailer ever. For the buggest let down ever.,1
Mishi,Whos here after watching frozen 2 trailer :D,1
John Immortal,trash,1
Hansen,Well at least the trailer was good.,1
Jared Verdon,Prequels&gt;Sequels. No question about it.,3
csephus,"Man, where was THIS movie.",2
Tanishq,"Never take Star Wars fans seriously.Why? Well George Lucas himself said that The Empire Strikes Back is the worst from the OT and <a href=""http://prequels.so/"">Prequels.So</a> how can i take you guyz seriously when you say The Last Jedi awful????Seriously?",3
TheTurtleBarbecue,cause the characters make some flawed decisions in the movie everyone hates it...…...remind me not to skip brushing my teeth.,1
FalcosCustoms,LIES! DECEPTION! BOR GULLET!<br>-Saw Gerrera,23
kacski 14,We were deceived,1
Sam Daniels,Horrible movie,3
L. R.,The Trailer is so much better than the movie lmao,1
Adiel Solo,In the end of this movie was kid and he gonna to be Jedi!,2
Adiel Solo,I don&#39;t want liea die in the 9 star wars movie,2
Bournefort,If only we knew how disappointing this movie would be.,1
Sodium_OD,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m45s"">1:45</a> <br>Luke directly calls out the audience.",4
joe minihane,Excellent trailer. Excellent film.,7
G. G. Farcan,Release episode IX trailer,6
BDI Mister Magic,Some People Think The Movie Was Better Than This Trailer...<br><br><br><br><br>But NOT US.<br>NOT US.,6
Miro Humalto,Only one who is waiting star wars 9 trailer?,2
Francisco Aguirre,This movie and The Force Awakens are the dumbest movies ever.,1
Daniel Escobar,Todo pinta a que saldrá hasta octubre xd,0
Jay Rivera,The trailer is much better then the movie. This trailer had me thinking we were getting another empire strikes back.,1
Miguel Alcalde,The tone of the trailer does not equal the tone of the film,3
Markus Schultz,Disney just wants to make money,1
Markus Schultz,Thank you Disney it was a great great time,2
Kirill Chuvashov,Great movie!,7
aif,Worst Movie Ever.,2
Constantine XI,Disney has not made a single good Star Wars movie,1
Jhon,Luke predicted this movie: &quot;This is not going to go the way you think!&quot;,3
Búi Helgason,It&#39;s rumoured that the trailer for 9 might be released today! So hyped!,1
Mr Vulture,<b>You were supposted to destroy the bad SW movies not join them! Bring light in movie theaters not leave them in darkness!</b>,0
kins,did they explain why Luke was in his Jedi garb - when clearly something big happened in the movie,0
Silvio M,The worst movie ever,1
Seven N P,If we only knew then this trailer was the best thing about The Last Jedi. Thank you Kathleen Kennedy and Rian Johnson for destroying Star Wars the the True Sith.,1
FatTony,"Best main-series Star Wars movie, tied with Empire.",2
mattue,This moment when the trailer is actually better than the movie,2
CJW,trailer wasn;t bad. The movie was BS though,1
Knight At Your Service,"Why Star Wars actors started to give voices for characters that are rabbits? I mean, Daisy Ridley played Cotton-Tail from Petter Rabbit (2018) and John Boyega played Bigwig from Watership Down (2018) (and Domhnall Gleeson was in Petter Raddit, but not as a rabbit).",1
Jordan Goodfellow,"This trailer gives me chills, the movie gives me chills when I think about how awful it was.",27
Kaden Kim,Half the Star Wars fanbase: Oh cool a Star Wars movie<br><br>The other half: omg dis movee iz da wurst of al tiem it wurse than thuh rewm and batulfeeld urth,7
Nix Neato,Wonder why they didn&#39;t show Luke tossing the lightsaber away... Oh wait yes : NO ONE WOULD HAVE PAID TO SEE THIS TURD !,1
Asdf,Awesome trailer<br>Terrible movie,4
Captain Bugsquash,Just excrutiating and possibly with PC related content,7
Super Steaman,"Just watched this trailer again in 2019. I just wish I never watched the movie. The trailer is absolutely incredible: full of power, mystery, emotion, hiding every single bad part of the movie. <br>Fool me once, Disney, shame on you. Fool me twice... There will be no second time.<br>I&#39;m done with this Star Wars. At least Disney makes amazing Marvel movies so have something to look forward to.",1
SuperTradie 101,This was worse than the prequels,0
vigilant_cat,"I don&#39;t care that feminists ruined the Ghost Hunters, but why they had to ruin Star Wars, WHYYYY",0
Master Playz,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=0m01s"">0:01</a> is not a scene in the last jedi",0
Tim Robertson,Why is this epic song not on the sound track? How can I get it? What even is it!?,0
Melvin Ronolin,waiting for 1M likes,2
Caloom Shoomif,"I&#39;m not going to say whether i liked TLJ or not, but i&#39;ve been looking through the comments, and it seems the only reasonable people are the ones who liked TLJ, interesting...",7
Rey Ruiz,This movie is the Star Wars equivalent of Halo 5: Guardians.,1
Lindstheteacher,When are you all releasing the episode 9 trailer?,0
james salmons,If we’re being honest here: the first half hour is BADASS. The middle hour lags and has its flaws as most movies do.... but that final hour is basically Star Wars perfection,3
Benjamin Wagoner,The movie was terrible but Star Ward knows how to make a great trailer,1
JourneyFishing,I still haven&#39;t seen the movie...,2
